Sample_name,Conc,Conc_RSD,Element,Site ,Species,Tissue_type,Weight,Solid_conc,Measurement_type
p14,2.963998558,1.022289239,Pb207,3,MY,Stems,0.1008,136.570106,P
p6,2.86767502,1.021758381,Pb207,2,MY,Stems,0.1002,121.186766,P
s1 sur,0.004661957,215.1557859,Pb207,1,NA,NA,NA,NA,SW
s1 bot,<0.000,NA,Pb207,1,NA,NA,NA,NA,BW
s2 sur,0.035163834,42.33113423,Pb207,2,NA,NA,NA,NA,SW
s2 bot,0.014763089,25.07038593,Pb207,2,NA,NA,NA,NA,BW
s3 sur,<0.000,NA,Pb207,3,NA,NA,NA,NA,SW
s2 2-4,0.264603982,1.398308057,Pb208,2,NA,NA,0.2518,NA,S
s2 8-10,0.40428241,0.579606949,Pb208,2,NA,NA,0.2517,0.00371032,S
s3 6-8,0.284462159,3.448709519,Pb208,3,NA,NA,0.2506,NA,S
s2 0-2,0.460283139,1.48400656,Pb208,2,NA,NA,0.2506,NA,S
s2 6-8,0.381606988,2.424423636,Pb208,2,NA,NA,0.2508,NA,S
s2 12-14,0.229166312,1.246793288,Pb208,2,NA,NA,0.2513,NA,S
s2 14-16,0.199402786,2.502479415,Pb208,2,NA,NA,0.2515,NA,S
s2 10-12,0.255156255,5.287791292,Pb208,2,NA,NA,0.2522,NA,S
s2 4-6,0.179868555,4.231768763,Pb208,2,NA,NA,0.2513,NA,S
s3 2-4,0.237237844,2.001897203,Pb208,3,NA,NA,0.2519,NA,S
s3 4-6,0.163506765,2.165484783,Pb208,3,NA,NA,0.2512,NA,S
s3 0-2,0.110550232,4.716994756,Pb208,3,NA,NA,0.2513,NA,S
p19,3.81647496,1.364569868,Pb208,3,PO,Leaves,0.1006,0.96445488,P
p7,7.564303855,0.784589829,Pb208,2,MY,Leaves,0.1004,0.95795947,P
p15,7.41481954,1.09168883,Pb208,3,MY,Leaves,0.1009,2.63950965,P
p21,10.8095694,1.551516826,Pb208,NA,NA,NA,NA,NA,P
p9,7.379706839,2.081894309,Pb208,3,CH,Stems,0.1008,0.429725,P
p12,10.84933816,0.997652321,Pb208,3,CH,Leaves,0.1006,1.01836184,P
p24,3.078515236,0.862117177,Pb208,NA,NA,NA,NA,NA,P
p13,1.985029161,1.748890253,Pb208,3,MY,Stems,0.1007,0.51380655,P
p18,1.951383131,0.46993643,Pb208,3,PO,Stems,0.1007,0.25023536,P
p10,5.186040697,0.77622677,Pb208,3,CH,Stems,0.1001,0.34690396,P
p11,8.673137014,0.505226027,Pb208,3,CH,Leaves,0.1005,0.85450871,P
p20,2.150957383,1.77258192,Pb208,3,PO,Leaves,0.1006,0.76656562,P
p4,13.52512689,0.535271784,Pb208,1,CH,Leaves,0.1001,0.55596586,P
p16,6.212412924,0.916361032,Pb208,3,MY,Leaves,0.1005,2.26698907,P
p23,1.421202947,1.89400192,Pb208,NA,NA,NA,NA,NA,P
p3,2.866482999,1.299299391,Pb208,1,CH,Leaves,0.1001,0.4888349,P
p2,3.598942644,1.297914459,Pb208,1,CH,Stems,0.1007,0.23862084,P
p17,3.533817663,0.143373423,Pb208,3,PO,Stems,0.1002,0.21579058,P
p5,2.204820284,0.289026702,Pb208,2,MY,Stems,0.1003,0.16795421,P
p1,2.793378482,0.84042562,Pb208,1,CH,Stems,0.1009,0.17951041,P
p22,8.883268487,0.369718432,Pb208,NA,NA,NA,NA,NA,P
p8,6.961894144,0.527056252,Pb208,2,MY,Leaves,0.1004,0.80773176,P
p14,3.05178603,0.683399567,Pb208,3,MY,Stems,0.1008,0.45161386,P
p6,2.98547187,0.182499358,Pb208,2,MY,Stems,0.1002,0.18776783,P
s1 sur,0.015625127,42.22754361,Pb208,1,NA,NA,NA,NA,SW
s1 bot,<0.000,NA,Pb208,1,NA,NA,NA,NA,BW
s2 sur,0.04672235,5.833288366,Pb208,2,NA,NA,NA,NA,SW
s2 bot,0.030295459,11.85514183,Pb208,2,NA,NA,NA,NA,BW
s3 sur,<0.000,NA,Pb208,3,NA,NA,NA,NA,SW
